x,y
0.0,97.93720972580373
0.2,97.8250553035809
0.4,95.84859558700046
0.6,91.14602498631263
0.8,92.15377726679554
1.0,85.0627730251778
1.2,85.21909248412052
1.4000000000000001,84.85138751208348
1.6,79.90033794538171
1.7999999999999998,75.21241658719151
2.0,73.52370334647986
2.2,75.48462590997538
2.4,72.71754020178695
2.6,71.52006014411229
2.8000000000000003,66.66533634104448
3.0,64.76156025435624
3.2,64.82006201343874
3.4000000000000004,63.57809079450658
3.5999999999999996,61.39233574094454
3.8,59.05666140188064
4.0,58.75844168317684
4.2,53.96870646736941
4.4,51.36662019210464
4.6000000000000005,53.899557231683886
4.8,46.21243291610383
5.0,48.66451106852223
5.2,45.13407021134417
5.4,44.091054906558504
5.6000000000000005,47.94029206377803
5.8,46.33566337134643
6.0,44.83611911119766
6.2,45.538191506184674
6.4,40.909153034373055
6.6000000000000005,41.06753641526358
6.800000000000001,39.58489760437777
7.0,38.055952781568365
7.199999999999999,36.54671021562038
7.4,35.9723594995348
7.6,34.89429838910217
7.800000000000001,36.35164353042237
8.0,33.574519380878385
8.2,34.71442074129713
8.4,28.65557587470318
8.6,32.893310659380376
8.8,30.35261033189239
9.0,32.318363777330845
9.200000000000001,34.38224288198082
9.399999999999999,27.12030764007068
9.6,26.933614418595944
9.8,31.126878871453602
10.0,33.53294163744138
10.2,29.979377577473603
10.4,31.407417066458095
10.600000000000001,32.85435883453146
10.8,29.711971874032983
11.0,29.01482087893105
11.200000000000001,31.094379218697274
11.399999999999999,32.752877399448856
11.6,33.19350428074797
11.799999999999999,31.494074816580127
12.0,35.70042985891452
12.2,33.83823715946028
12.4,34.94064975311997
12.6,34.488379406114944
12.8,38.526148330306505
13.0,33.692370063002535
13.200000000000001,38.38398850423644
13.4,40.94533300659693
13.600000000000001,38.58572142018372
13.799999999999999,38.625873114652585
14.0,47.07285946592993
14.2,42.35407376944682
14.399999999999999,42.64644786452638
14.6,52.37330891011426
14.8,49.2926996627922
15.0,51.72469251679574
15.2,52.82852774777694
15.4,55.824465293740424
15.600000000000001,57.930819895050426
15.8,55.731618477546334
16.0,61.81261492362421
16.200000000000003,65.82618964791241
16.4,64.4489207897242
16.599999999999998,65.4157512183593
16.8,72.18107177941727
17.0,72.19293833334157
17.2,77.07702382045092
17.4,77.21551865250473
17.6,81.57238260221988
17.8,79.48671802876498
18.0,89.1079545332945
18.2,90.56949463670362
18.400000000000002,91.44268000382478
18.6,93.58542820663274
18.799999999999997,98.48879749542608
19.0,102.7248671060402
19.2,105.92103908885628
19.4,109.54822399473818
19.6,113.83701882532131
19.8,116.99603054035227
20.0,120.71273594585487
